Município-Piauí;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
PI-PICOS;1401;1211;1242;1251;1286;1325;1248;1122;989;993;883;936;857;1033;801;716;537;493;460;425;375
PI-PIMENTEIRAS;3;0;2;8;8;9;10;5;3;3;3;0;3;3;4;4;3;3;2;3;4
PI-PIO IX;22;22;28;13;12;15;27;21;18;21;22;6;29;36;55;64;17;36;42;38;78
PI-PIRACURUCA;182;184;145;177;124;145;140;156;128;143;105;92;100;96;74;89;86;86;68;62;69
PI-PIRIPIRI;702;601;583;594;575;612;662;708;747;714;643;612;605;534;559;427;454;374;425;336;373
PI-PORTO;6;3;3;3;3;3;4;4;4;4;4;5;4;4;4;4;4;5;0;0;0
PI-PORTO ALEGRE DO PIAUI;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
PI-PRATA DO PIAUI;2;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3
PI-QUEIMADA NOVA;31;13;19;29;8;8;9;6;3;18;0;0;0;1;21;49;50;46;46;36;48
PI-REDENCAO DO GURGUEIA;27;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;1;2;2;2;2
PI-REGENERACAO;317;139;133;143;137;121;71;124;142;159;63;82;31;7;9;22;10;21;3;4;4
PI-RIBEIRA DO PIAUI;54;23;19;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-RIBEIRO GONCALVES;37;67;20;16;15;11;8;8;2;2;2;2;2;2;2;2;2;2;2;5;5
PI-RIO GRANDE DO PIAUI;3;4;4;3;3;3;4;6;6;7;5;5;5;5;6;6;6;6;6;6;4
PI-SANTA CRUZ DO PIAUI;6;4;6;4;3;1;1;1;1;2;3;3;3;3;2;2;1;1;1;2;2
PI-SANTA CRUZ DOS MILAGRES;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-SANTA FILOMENA;37;24;19;14;10;11;12;12;23;25;21;15;11;35;11;6;7;4;3;3;3
PI-SANTA LUZ;102;81;84;84;60;77;80;64;87;51;54;38;37;38;49;48;41;42;42;43;39
PI-SANTA ROSA DO PIAUI;9;8;2;8;9;1;2;2;2;4;2;5;2;2;2;2;2;2;13;13;13
PI-SANTO ANTONIO DE LISBOA;78;61;67;64;68;64;68;77;87;86;74;79;62;55;45;43;46;42;31;18;21
PI-SANTO INACIO DO PIAUI;10;10;8;8;7;7;6;6;5;5;1;1;1;2;2;2;2;2;2;2;2
PI-SAO BRAZ DO PIAUI;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-SAO FELIX DO PIAUI;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
PI-SAO FRANCISCO DE ASSIS DO PIAUI;32;26;22;20;7;7;13;31;23;16;8;0;0;10;0;0;0;0;0;0;0
PI-SAO FRANCISCO DO PIAUI;3;2;3;3;3;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2;2
PI-SAO GONCALO DO GURGUEIA;36;43;61;407;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-SAO GONCALO DO PIAUI;5;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;5
PI-SAO JOAO DA CANABRAVA;2;0;0;0;2;2;2;2;2;2;2;2;3;3;3;2;3;3;3;6;5
PI-SAO JOAO DA SERRA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
PI-SAO JOAO DA VARJOTA;9;22;22;24;15;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PI-SAO JOAO DO PIAUI;107;142;135;229;151;148;155;169;181;206;175;191;176;128;128;99;98;85;73;33;29
PI-SAO JOSE DO DIVINO;9;8;0;7;5;1;0;0;0;1;0;0;1;2;1;1;1;1;1;4;0
PI-SAO JOSE DO PEIXE;4;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
PI-SAO JOSE DO PIAUI;20;19;11;13;15;13;7;9;11;7;4;4;2;2;1;12;1;1;1;1;2
PI-SAO JULIAO;25;3;2;2;3;3;4;4;2;2;2;2;2;2;2;2;2;2;2;2;3
PI-SAO LOURENCO DO PIAUI;0;3;3;4;4;0;4;5;5;6;1;0;1;0;0;0;0;0;0;0;0
PI-SAO MIGUEL DO TAPUIO;2;2;2;3;5;4;5;8;5;4;4;4;4;3;2;2;2;2;2;2;2
PI-SAO PEDRO DO PIAUI;24;14;18;37;40;44;47;53;47;47;46;39;37;26;26;27;30;32;28;23;15
PI-SAO RAIMUNDO NONATO;174;145;150;137;141;143;157;173;132;160;158;129;107;110;109;88;88;113;102;102;63
PI-SEBASTIAO LEAL;4;7;12;10;10;12;11;18;21;13;9;3;5;1;1;1;2;0;0;0;0
PI-SIGEFREDO PACHECO;8;0;0;1;7;6;5;3;0;0;0;0;0;0;0;3;0;0;0;1;1
